person_id,full_name,preferred_name,search_name,is_permitted_to_logon,logon_name,is_external_logon_provider,hashed_password,is_system_user,is_employee,is_salesperson,user_preferences,phone_number,fax_number,email_address,photo,custom_fields,other_languages,last_edited_by
1,Data Conversion Only,Data Conversion Only,Data Conversion Only Data Conversion Only,f,NO LOGON,f,,f,f,f,,,,,,,,1
2,Kayla Woodcock,Kayla,Kayla Kayla Woodcock,t,kaylaw@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,kaylaw@wideworldimporters.com,,"{ ""OtherLanguages"": [""Polish"",""Chinese"",""Japanese""] ,""HireDate"":""2008-04-19T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""0.98""}","[""Polish"",""Chinese"",""Japanese""]",1
3,Hudson Onslow,Hudson,Hudson Hudson Onslow,t,hudsono@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,hudsono@wideworldimporters.com,,"{ ""OtherLanguages"": [] ,""HireDate"":""2012-03-05T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""3.62""}",[],1
4,Isabella Rupp,Isabella,Isabella Isabella Rupp,t,isabellar@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,isabellar@wideworldimporters.com,,"{ ""OtherLanguages"": [""Turkish"",""Slovenian""] ,""HireDate"":""2010-08-24T00:00:00"",""Title"":""Team Member""}","[""Turkish"",""Slovenian""]",1
5,Eva Muirden,Eva,Eva Eva Muirden,f,evam@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,evam@wideworldimporters.com,,"{ ""OtherLanguages"": [""Lithuanian""] ,""HireDate"":""2012-01-22T00:00:00"",""Title"":""Team Member""}","[""Lithuanian""]",1
6,Sophia Hinton,Sophia,Sophia Sophia Hinton,t,sophiah@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,sophiah@wideworldimporters.com,,"{ ""OtherLanguages"": [""Swedish""] ,""HireDate"":""2007-05-14T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""4.55""}","[""Swedish""]",1
7,Amy Trefl,Amy,Amy Amy Trefl,t,amyt@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,amyt@wideworldimporters.com,,"{ ""OtherLanguages"": [""Slovak"",""Spanish"",""Polish""] ,""HireDate"":""2009-02-15T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""0.58""}","[""Slovak"",""Spanish"",""Polish""]",1
8,Anthony Grosse,Anthony,Anthony Anthony Grosse,t,anthonyg@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,anthonyg@wideworldimporters.com,,"{ ""OtherLanguages"": [""Croatian"",""Dutch"",""Bokmål""] ,""HireDate"":""2010-07-23T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Mideast"",""CommissionRate"":""0.11""}","[""Croatian"",""Dutch"",""Bokmål""]",1
9,Alica Fatnowna,Alica,Alica Alica Fatnowna,t,alicaf@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,alicaf@wideworldimporters.com,,"{ ""OtherLanguages"": [] ,""HireDate"":""2007-12-07T00:00:00"",""Title"":""General Manager""}",[],1
10,Stella Rosenhain,Stella,Stella Stella Rosenhain,t,stellar@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,stellar@wideworldimporters.com,,"{ ""OtherLanguages"": [""Dutch"",""Finnish"",""Lithuanian""] ,""HireDate"":""2007-11-17T00:00:00"",""Title"":""Warehouse Supervisor""}","[""Dutch"",""Finnish"",""Lithuanian""]",1
11,Ethan Onslow,Ethan,Ethan Ethan Onslow,t,ethano@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,ethano@wideworldimporters.com,,"{ ""OtherLanguages"": [] ,""HireDate"":""2011-12-17T00:00:00"",""Title"":""Warehouse Supervisor""}",[],1
12,Henry Forlonge,Henry,Henry Henry Forlonge,t,henryf@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,henryf@wideworldimporters.com,,"{ ""OtherLanguages"": [""Greek"",""Slovak""] ,""HireDate"":""2009-03-18T00:00:00"",""Title"":""Team Member""}","[""Greek"",""Slovak""]",1
13,Hudson Hollinworth,Hudson,Hudson Hudson Hollinworth,t,hudsonh@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,hudsonh@wideworldimporters.com,,"{ ""OtherLanguages"": [""Croatian""] ,""HireDate"":""2010-11-27T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""0.24""}","[""Croatian""]",1
14,Lily Code,Lily,Lily Lily Code,t,lilyc@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,lilyc@wideworldimporters.com,,"{ ""OtherLanguages"": [""Finnish"",""Bulgarian""] ,""HireDate"":""2010-06-06T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.98""}","[""Finnish"",""Bulgarian""]",1
15,Taj Shand,Taj,Taj Taj Shand,t,tajs@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,tajs@wideworldimporters.com,,"{ ""OtherLanguages"": [""Arabic"",""Greek""] ,""HireDate"":""2009-03-14T00:00:00"",""Title"":""Manager"",""PrimarySalesTerritory"":""Far West"",""CommissionRate"":""2.29""}","[""Arabic"",""Greek""]",1
